index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
148,900,,113214,112291,38792,53870,55913,55250,77759,73966,55496,27529,13560,1185,4,6,5,4,2,17
149,1760.19,,176782,174303,53447,76522,101814,88638,114876,112761,84942,44185,21281,1868,3,10,3,5,4,22
150,7289,,9745,9747,2359,2516,2797,3488,5009,7535,7997,5715,4066,339,2,1,1,1,2,5
151,,,839800,767068,181962,247355,382184,381023,480286,524523,530271,304507,118556,6155,32,22,17,8,10,57
152,1447122,878821,1544167,1449499,372712,487674,787802,918614,967633,951105,826110,415402,125822,4835,0,54,21,14,6,95
153,935,1984,18281,18210,2594,5160,4719,4240,8287,11893,15608,9258,6008,699,10,2,0,1,1,4
154,802,2800,1544843,1459425,357915,494122,755270,868672,940464,1019946,895437,401081,139524,7628,14,54,17,14,11,96
155,9489.17,11369,416627,432670,183078,198034,196981,287070,341855,240382,144906,53308,17142,879,14,20,3,3,4,30
156,,4320,1851351,1762772,402869,542407,1020189,1111489,1102835,1167507,1034214,508136,176209,7690,17,62,16,22,13,113
157,1087,,17048,16264,3594,5010,5684,5445,8914,12487,13946,8517,5773,423,7,1,0,1,1,3
158,1015,3999,5866,5054,1129,1251,1161,1638,2718,3888,4320,3133,1913,150,5,0,0,1,1,2
159,25145.98,72298,115564,118661,29711,39385,46584,48227,66179,80803,72312,42248,16997,1296,2,6,1,4,1,12
160,12716,1101873,1359490,1258791,285005,408447,794736,824847,817911,801419,671046,374312,126233,3841,27,53,45,20,6,124
161,46979,18368,692642,666972,190921,275993,369825,330629,437317,456153,341764,175266,73810,5364,13,25,24,15,13,77
162,2685,2622,23486,23433,3075,6479,6477,6471,10545,15022,19562,12181,7836,703,8,2,1,1,2,6
163,859,9643,36168,36218,9196,11089,11564,13933,20259,24679,25975,15704,8926,681,22,2,3,1,2,8
164,1295.06,211,41402,40044,5864,12005,13644,10884,18484,26805,31641,19751,11774,1032,9,2,0,2,1,5
165,2351.47,1682,41051,39691,5197,11729,13507,10063,17885,26243,31350,19712,11787,1084,0,2,0,2,1,5
166,3100,,10730,11048,1504,2986,3054,2862,4818,7748,10140,5705,3200,187,11,1,11,1,2,15
167,3000,,7940,7622,1918,2510,2393,2583,4525,5417,5364,3757,2192,250,7,2,5,1,1,9
168,768,4295,2161942,2013353,450740,598887,1268415,1320914,1259881,1296355,1139170,609060,222674,7057,23,72,39,24,18,153
169,4594,6,12040,11552,1581,2849,3119,2885,4876,8412,10817,6657,4369,403,0,2,1,1,2,6
170,4025.83,8816,444336,417053,79293,122266,209799,186350,238539,280873,309619,188265,75853,3907,22,12,20,6,15,53
171,6521,1942,15740,15037,2920,3923,4000,4292,6476,9917,11507,8360,6328,564,4,2,0,1,1,4
172,6531,6596,9865,10616,3349,3774,4456,5194,5824,6674,7000,3697,2080,87,5,2,1,1,2,6
173,110561.43,,1557986,1433418,333836,462983,897962,954150,935741,924626,780488,420353,140621,4470,5,61,56,26,7,150
174,5265,971,114109,117217,28865,38651,45273,46175,64676,78498,69858,40831,16274,1235,11,5,1,3,1,10
175,2750.45,15384,267234,260140,63022,93126,135162,118742,160855,192402,156803,78144,32251,1722,1,10,1,2,5,18
176,1128,16823,2010335,1897056,427524,576546,1164067,1219817,1186913,1233647,1093340,560390,198641,7398,17,62,19,18,14,113
177,730,1299,322902,310962,88637,116214,149509,158711,203610,222342,175321,87486,40100,2981,8,13,2,3,2,20
178,884.42,962,9222,9322,1704,2089,2590,3135,4755,6569,7784,4572,2364,152,6,1,2,1,1,5
179,2130,14676,144441,140797,49751,54418,58006,75011,97525,94535,80091,36409,15012,1186,12,4,4,3,1,12
180,826,,7931,8164,2077,2530,3185,3488,3391,5006,5798,2822,1792,87,5,1,4,2,2,9
181,,,7931,8164,2077,2530,3185,3488,3391,5006,5798,2822,1792,87,7,1,4,2,2,9
182,,30412,667310,645478,175772,228751,317801,367626,406133,459860,382883,159910,64023,3547,29,30,7,8,6,51
183,14000,25380,59912,62851,14524,24189,29534,25837,36403,38033,32618,16239,8387,613,5,3,3,2,1,9
184,547,,47878,49731,11223,18186,24712,20778,27306,31090,28587,14382,8034,645,4,3,3,2,1,9
185,"4,829.77",1789,427147,446372,118498,161681,246653,240168,285691,332153,217255,75792,31819,2291,5,19,7,3,2,31
186,14413,102168,418591,438636,116205,159834,243272,234879,280881,326656,212827,73848,30774,2234,19,20,7,3,2,32
187,6927,38011,62216,59660,14426,20481,24882,22537,33055,39671,40392,23683,13682,1263,11,5,4,1,1,11
188,"5,483.66",52136,424435,421769,121771,162892,211324,225596,281038,284818,228434,101554,40858,2498,3,18,15,9,9,51
189,4989,61338,678556,639119,151509,220418,316711,300951,393777,454349,405099,227837,99055,4635,11,21,14,9,5,49
190,373,967,134026,139123,44787,64096,67576,72954,94949,80981,58478,28553,14204,1042,12,5,7,4,4,20
191,8403,3713,121376,125848,39316,58289,61701,65183,84979,72696,53109,26579,13316,1004,9,5,6,4,3,18
192,5028,20896,2033539,1852952,394146,542695,1176017,1140038,1144736,1246018,1089463,605638,246894,7217,12,76,137,36,19,268
193,,2943,121992,119847,48148,49012,45768,68085,88533,78700,61865,25744,10021,823,8,4,3,2,1,10
194,165.87,1216,1998139,1819989,411643,552594,1173145,1194137,1151463,1175865,1004866,556102,218605,6641,33,63,120,31,16,230
195,,,109529,113116,32645,50647,56336,55405,73836,65105,49108,25120,12548,929,3,5,6,4,3,18
196,1264,,1158333,1116411,297139,387385,560338,634935,728147,788115,668710,288019,105887,6512,12,34,12,11,8,65
197,"2,039.04",,1173564,1131017,298553,388541,566780,643135,733451,793353,675844,291974,107203,6607,12,35,12,11,8,66
198,2089,,392935,410618,125163,172927,213302,227705,287265,291765,185700,61358,23960,1962,18,12,4,2,2,20
199,8084,1580,1221843,1174911,305947,406207,583357,659403,762397,842074,720437,311890,116177,7145,11,33,13,11,8,65
200,6507,25739,134092,131784,42121,55333,60702,60642,82298,93094,71785,35855,18637,1797,20,8,4,1,2,15
201,354,,10539,10032,1501,2551,2455,2400,4058,6918,8047,6362,4810,538,10,2,2,1,1,6
202,878.3,,788170,750348,206401,260105,369736,457208,491868,495678,423913,199030,60554,2620,8,26,15,6,4,51
203,"17,462.67",7107,1019695,1015527,319110,414475,550074,601115,712353,667873,445216,202201,75504,3712,14,40,16,11,3,70
204,550,,887600,878769,267396,350516,474074,516892,601352,590078,410810,177135,66618,3457,11,33,11,9,6,59
205,3228,4622,1045979,1042411,338862,438779,559176,620211,745986,678361,445166,196643,72129,3650,15,40,19,11,4,74
206,3207,,925760,925775,287038,375567,506373,548380,641446,607016,408245,177926,65865,3326,4,37,17,10,5,69
207,"5,542.24",27411,860644,844772,243192,330743,454284,483825,566786,582626,428475,181971,70059,3638,12,29,12,11,6,58
208,14777,,767502,718387,156089,242880,361039,328139,430189,522849,475859,261018,112160,5217,8,25,15,12,9,61
209,3998,3649,122527,120884,26690,47594,66355,47011,68787,83483,73619,40661,20032,1929,7,7,3,2,2,14
210,819.3,2451,455124,433797,136022,180635,198989,231831,301220,319944,214558,93089,49814,3422,9,22,4,4,6,36
211,2987,8672,44225,43214,9912,12677,14118,17717,24600,32337,32492,16681,8198,559,13,4,4,1,1,10
212,,26457,2035767,1862072,417386,594823,1154761,1162868,1198188,1247860,1063163,583336,216058,6290,51,92,126,37,17,272
213,53202,696382,1840139,1675745,374701,500902,1087814,1059733,1052805,1106076,946671,537323,221693,5797,34,75,136,30,17,258
214,3010,19454,52619,55409,12927,20975,35330,25020,30220,30623,27534,14292,7343,590,4,4,4,1,2,11
215,1901,7808,39041,39187,8794,13870,16006,15473,22636,27325,27122,13434,7040,626,7,2,9,2,1,14
216,3869.82,8045,14201,14640,1747,2553,3148,3866,5854,11017,14326,8895,5496,566,1,2,1,1,1,5
217,1028.09,13517,2072601,1901956,434989,609172,1142060,1198544,1226746,1267118,1089493,588513,207452,6274,35,84,118,41,15,258
218,9749,40757,252499,258819,67406,91636,119455,132519,161621,199564,157226,57440,19071,1366,4,7,7,2,2,18
219,1002.99,,1710093,1587430,348875,489682,948475,912899,974076,1080614,953002,512533,204274,6869,18,71,55,24,13,163
220,2018,616,1732981,1603169,343597,490009,963296,928252,979093,1097134,969746,524361,209830,6903,18,74,83,30,15,202
221,4943,239191,637500,612265,182689,228080,297701,365901,423100,414167,327305,154679,56603,3075,8,25,8,10,4,47
222,380.91,,641222,616972,182919,242737,292828,348283,431304,418394,313667,161825,62207,3002,7,19,10,11,5,45
223,"4,068.04",302,1156612,1071755,257205,368526,650361,702323,716093,688177,574085,311954,98414,3249,16,40,40,17,4,101
224,648,,17911,17095,2635,4870,4199,4173,7833,11466,14681,10094,6835,822,8,2,2,1,2,7
225,999,4297,40281,41201,9324,13659,15280,15505,23852,30873,26586,12035,5450,486,16,1,3,1,0,5
226,3623.42,,1876066,1751339,444704,575293,992810,1100578,1150580,1149043,998830,511261,167517,5783,27,64,38,17,11,130
227,1773.64,8129,1941483,1768516,385103,516843,1136890,1106499,1103289,1181757,1026798,580817,236638,6135,11,73,135,33,15,256
228,,,2027766,1845861,409778,544802,1197307,1185706,1160197,1208107,1029251,582252,234272,6115,35,84,135,31,15,265
229,,14050,63558,67041,21785,25336,26100,33536,42547,42203,33666,17463,9934,951,7,3,0,1,2,6
230,199.5,2595,76340,74200,17375,26090,32064,28356,42400,54807,50441,27403,14294,1387,12,3,7,2,2,14
231,736,3665,1558703,1409343,335419,437226,866503,928134,904386,920727,778327,419209,173293,5652,13,51,117,25,15,208
232,8481,22468,43228,42259,13994,17976,16360,19313,29817,33227,27356,15714,7687,498,5,5,10,2,3,20
233,807,5403,28288,27818,5577,7991,6941,8604,12810,18320,20762,13355,8669,755,5,1,1,1,2,5
234,3367.18,22082,2025770,1881128,448250,617468,1095658,1161293,1217724,1246813,1082242,566701,192025,6585,0,79,45,23,12,159
