index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1188,5582,88288,26798,25616,6292,10293,9541,9094,16944,17224,13949,7954,3399,142,11,1,0,0,0,1
1189,6560,181756,51792,50058,21678,22346,21413,30282,38788,30477,21410,7681,2522,108,13,1,0,0,0,1
1190,2204,56491,25200,25171,6328,9133,9334,10813,15772,20692,17730,8490,4058,386,10,1,1,2,1,5
1191,265,11088,2737,2659,2207,1020,941,2864,2538,1760,1572,613,230,11,6,1,0,0,0,1
1192,3782,231043,36455,33555,9358,15048,17948,15142,22495,26220,20226,10765,4644,144,13,2,2,0,1,5
1193,2534,317397,36828,36382,12577,13803,21703,21284,23437,21782,18591,9824,4574,435,13,1,0,1,0,2
1194,1463,108115,28522,29282,7200,13396,19586,10937,16186,16053,14667,7183,3995,476,11,1,1,0,0,2
1195,335,32717,27136,26917,8410,10618,13879,15265,17799,18135,16416,8299,2960,88,11,2,0,0,0,2
1196,201,19547,23407,22652,5435,7644,13837,11024,13581,15858,14850,9005,3745,137,14,1,1,1,1,4
1197,1112,165376,36908,33889,11067,16227,17231,16177,23828,27016,19216,8130,3182,105,6,2,2,0,0,4
1198,350,137261,28733,28433,8722,10570,12486,14606,17346,17485,15844,7961,3153,73,2,2,3,0,0,5
1199,597,7752,1738,1785,234,371,465,531,874,1400,1917,1167,642,53,6,1,0,0,0,1
1200,1054,207746,16857,16669,4412,8898,8324,6954,12309,12997,10473,4736,2078,260,14,1,0,0,0,1
1201,3622,170509,19489,22635,9432,7907,7250,13181,16589,12514,8940,3522,1632,228,13,1,0,0,1,2
1202,4266,150804,38756,39895,9336,13219,23313,23315,25252,31815,24467,8247,2403,153,7,1,0,0,0,1
1203,3481,231780,68658,69516,19969,26242,32412,39263,43920,55460,36226,7968,1956,146,9,2,1,0,0,3
