index,시설명,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
138,포마자동차디자인미술관,경기도 고양시 덕양구 향뫼로 91,1483,971,37.5917822,126.8964388,1422680,1290969,315653,413792,763685,852249,843284,852597,721223,378542,150976,5330,0,49,51,15,11,126
139,한강뮤지엄,경기도 남양주시 와부읍 경강로 926번길30,1480,24000,37.5534185,127.236704,344092,332766,115441,126641,141671,194089,237350,208435,185803,86109,25281,1751,7,10,7,2,2,21
140,한국미술관,경기도 용인시 기흥구 마북로244-2,743,1164,37.3089649,127.1319683,700291,667948,223033,304160,337564,378968,504498,449922,290947,152763,63117,4000,3,21,13,9,3,46
141,한향림도자미술관,경기도 파주시 탄현면 헤이리마을길 82-37,1187,9172,37.7888541,126.7012773,135836,136923,50509,57781,59397,82247,96465,87454,58576,27875,13334,984,4,6,16,0,1,23
142,해움미술관,경기도 수원시 팔달구 매산로133 해움미술관(4f),307,2500,37.2722634,127.0149874,946884,946556,296134,386638,519060,563585,660476,620987,416587,182557,67415,3429,14,37,16,10,4,67
143,현대어린이책미술관 MOKA,경기도 성남시 분당구 판교역로 146번길 20,2736,91230,37.3927758,127.1120283,619252,596009,172886,227591,287704,345083,411676,403314,309174,154819,58918,3086,39,22,9,11,5,47
144,현대어린이책미술관 MOKA GARDEN,경기도 남양주시 다산순환로 50,668,192996,37.6161005,127.1527233,1045565,987796,267877,344362,508894,564332,654168,661423,573612,287775,101255,4384,9,26,9,7,7,49
145,DIMA 아트센터,경기도 안성시 삼죽면 동아예대길 47 엔터테인먼트관 1층,1927,2759,37.0586339,127.3587846,16946,17345,2518,6010,6416,5135,8170,11268,12178,6317,4024,329,2,1,2,1,1,5
146,KUMA 계원예술대학교 미술관,경기도 의왕시 계원대학로 66,479,7500,37.378627,126.9783018,591918,571859,161719,213475,286136,326656,367605,417151,334318,133946,54836,3487,9,25,10,8,6,49
147,갤러리 우촌(미술관),경기도 성남시 수정구 적푸리로9(상적동),3171,84903,37.4343313,127.0832379,960022,903778,250209,346470,447706,555654,624625,605301,489053,236571,72780,3449,3,37,22,14,7,80
148,강릉시립미술관,강원도 강릉시 화부산로40번길 46(교동),917,33110,37.7604589,128.891103,90092,88313,19295,31568,46231,34623,51806,59070,56775,31114,15176,1132,7,3,15,4,3,25
149,공립인제내설악미술관,강원도 인제군 북면 예술인촌길 66-12,804,6200,38.145516,128.253335,3398,3710,1826,1173,1456,2411,2301,2289,2594,1230,606,39,3,1,3,0,0,4
150,양구군립 박수근미술관,강원도 양구군 양구읍 박수근로 265-15,4098,39425,38.0964085,127.981528,7517,7713,2024,1931,3013,3329,3207,4898,5673,2789,1720,87,4,1,4,2,2,9
151,진부령미술관,강원도 고성군 간성읍 진부령로 663,964,11487,38.3233062,128.3861357,1545,1546,523,314,529,673,950,993,1473,637,375,6,0,0,1,0,0,1
152,춘천미술관,강원도 춘천시 서부대성로 71,372,12000,37.8825658,127.7313665,140091,132847,34574,52429,75386,61805,76320,86616,79213,38839,22287,1369,8,9,13,4,2,28
153,KT&G 상상마당 춘천 아트갤러리,강원도 춘천시 스포츠타운길 399번길 25,3873,29546,37.873825,127.7025264,138034,130855,34329,52143,74851,61070,75618,85628,78213,37878,21764,1316,4,9,12,4,2,27
154,국제현대미술관,"강원도 영월군,읍 삼옥길31",846,3935,37.20802,128.506478,10166,10507,1594,2957,2938,2893,4711,7324,9614,5310,2852,153,2,1,9,1,2,13
155,권진규미술관,강원도 춘천시 동면 금옥길 228,2519,42384,37.92071,127.8057939,87986,83993,18959,31565,52428,36386,44333,52715,52000,26732,15894,971,4,4,7,1,0,12
