index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
610,안산단원어린이도서관,2018,39724,37.3311996,126.8159364,76787,80264,19920,28932,45145,44739,50942,63229,41269,12899,4092,125,21,4,2,2,0,8
611,안산시립상록어린이도서관,2196,34548,37.3072866,126.8620714,74711,76901,14593,25633,46285,38743,46703,61154,38683,15914,7350,485,3,4,3,1,1,9
612,안성시 아양도서관,2765,193538,37.0050059,127.2561898,25118,25325,5829,9741,15440,11954,13636,15568,13498,6622,3344,249,6,2,0,0,0,2
613,안성시립공도도서관,4021,85633,37.0036509,127.1730332,17640,17656,6424,9078,7794,9516,13889,11736,7739,3393,1349,70,24,1,0,0,0,1
614,안성시립보개도서관,1769,82845,37.0149343,127.3231694,2485,2362,303,657,849,705,1099,1768,1889,933,657,43,10,1,0,0,1,2
615,안성시립일죽도서관,1265,7133,37.0905651,127.4770359,1375,1455,215,388,686,640,813,1207,1582,849,531,52,5,1,1,0,0,2
616,안성시립중앙도서관,6249,198569,37.0154219,127.2688607,27165,27146,6148,10865,16071,12438,14202,16540,14717,7414,3919,271,12,2,1,1,0,4
617,안성시립진사도서관,1526,156932,36.9933573,127.1454256,27929,29002,12608,13169,15310,20502,23307,19553,11328,4265,1484,52,5,1,0,0,0,1
618,안양시만안도서관,4190,103123,37.3862045,126.9262166,82978,80646,23905,27508,43174,52489,53405,60413,54040,23343,8916,762,11,4,0,1,1,6
619,안양시박달도서관,2504,119564,37.4024072,126.9035734,73204,71160,13898,20211,36864,37084,39041,52215,48603,22577,8728,385,15,3,0,0,0,3
620,안양시벌말도서관,753,98960,37.3938296,126.9763965,90783,86099,25769,37219,43600,50829,60320,64369,46433,16630,6832,383,15,3,1,0,0,4
621,안양시석수도서관,10652,257201,37.4115195,126.902638,63896,62694,15117,19208,34986,35709,37232,47456,40951,18015,6706,328,6,2,2,0,0,4
622,안양시평촌도서관,3642,525568,37.3959876,126.9576977,120261,113487,37310,50174,59037,74928,84220,86942,65137,24154,9290,540,23,3,0,1,0,4
623,안양시호계도서관,2951,153909,37.3830559,126.9505519,119397,114194,37349,50626,58242,73706,84119,85063,65648,24280,9364,798,19,3,0,1,0,4
624,안양시립관양도서관,3890,192368,37.4109131,126.9680934,46836,45224,11853,15003,26151,31151,29457,36597,28996,11521,4597,91,8,1,0,0,0,1
625,안양시립비산도서관,3244,204182,37.3991875,126.9376679,106139,100937,30009,33717,48976,65494,64621,69352,58639,24027,9291,700,14,2,0,1,1,4
