city,small,name,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
광주광역시,서구,서창 생활문화센터,광주광역시 서구 눌재로 412(세하동),594,"3,616",35.1144762,126.8302395,262.0,244.0,59.0,53.0,178.0,110.0,50.0,206.0,109.0,34.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0
광주광역시,북구,신용생활문화센터,광주광역시 북구 첨단연신로107번길22 3층,614,445,35.2076447,126.8617291,16279.0,15725.0,9018.0,8706.0,7132.0,11038.0,14783.0,10540.0,5902.0,2076.0,595.0,34.0,5.0,1.0,0.0,0.0,1.0,2.0
광주광역시,동구,전일생활문화센터,"광주광역시 동구 금남로 245, 4층",1095,"20,000",35.1483352,126.9188169,15085.0,15758.0,1098.0,2135.0,7866.0,4477.0,4649.0,5818.0,6430.0,4261.0,2360.0,197.0,23.0,2.0,6.0,2.0,2.0,12.0
광주광역시,서구,치평 생활문화센터,광주광역시 서구 상무공원로 62(치평동),575.54,"8,472",35.1499554,126.8432955,15030.0,13689.0,3570.0,4387.0,8961.0,8502.0,8869.0,10845.0,7123.0,3048.0,1676.0,158.0,10.0,0.0,0.0,1.0,1.0,2.0
구미시,,선산문화의집,경상북도 구미시 선산읍 선산중앙로83-1,648,120,36.24298844,128.3001756,4109.0,3780.0,1056.0,1875.0,1404.0,1600.0,2652.0,2697.0,2718.0,1764.0,849.0,56.0,6.0,1.0,0.0,0.0,2.0,3.0
금산군,,금산문화의집,충청남도 금산군 금산읍 방아동4길 17,876,75000,36.0979069,127.4909694,3908.0,3656.0,908.0,1995.0,1135.0,1246.0,2568.0,2669.0,1658.0,1174.0,770.0,108.0,12.0,1.0,0.0,0.0,2.0,3.0
금산군,,추부문화의집,충청남도 금산군 추부면 하마전로 31,2868,8786,36.19099526,127.4699593,812.0,844.0,95.0,840.0,173.0,100.0,331.0,688.0,928.0,531.0,321.0,29.0,15.0,1.0,0.0,0.0,1.0,2.0
김천시,,김천문화의집,경상북도 김천시 중앙공원1길 16(남산동),702,9962,36.11929412,128.1195002,6161.0,5806.0,1129.0,3230.0,2380.0,2198.0,3401.0,5152.0,5209.0,2809.0,1535.0,205.0,9.0,0.0,1.0,1.0,3.0,5.0
김해시,,김해문화의집,경상남도 김해시 김해대로 2371번길 24-16,528.92,700,35.22870092,128.8865652,12104.0,12152.0,1691.0,2591.0,4846.0,5013.0,6225.0,10351.0,11421.0,5618.0,2523.0,208.0,14.0,0.0,2.0,0.0,2.0,4.0
김해시,,내외문화의집,경상남도 김해시 금관대로 1255(내동 201-4),343,,35.23752628,128.8578482,20040.0,20247.0,4140.0,6624.0,11442.0,10472.0,12146.0,18871.0,12727.0,4693.0,1813.0,111.0,12.0,0.0,0.0,1.0,1.0,2.0
김해시,,안동문화의집,경상남도 김해시 삼안로 72번지(안동 747-8),541,3800,35.2356249,128.9179087,7689.0,7746.0,935.0,2394.0,4442.0,2538.0,3828.0,6429.0,4815.0,1944.0,658.0,0.0,14.0,0.0,1.0,0.0,1.0,2.0
김해시,,진영문화의집,경상남도 김해시 진영읍 여래로 20번길 11,783.1,500,35.30450337,128.7327566,13178.0,14008.0,4998.0,6813.0,5061.0,7031.0,12351.0,10036.0,8815.0,4457.0,1964.0,213.0,20.0,2.0,2.0,1.0,1.0,6.0
나주시,,전남장애인문화의집,전라남도 나주시 내영산 1길 67,541.73,318,35.00811739,126.6947939,1154.0,1128.0,13.0,91.0,217.0,185.0,334.0,703.0,1194.0,839.0,720.0,40.0,3.0,0.0,0.0,0.0,1.0,1.0
남양주시,,남양주시문화의집,경기도 남양주시 진접읍 금강로 1509-26(3층),363.87,10000,37.72632755,127.1898639,11437.0,11306.0,3253.0,4822.0,4370.0,4965.0,8264.0,7578.0,5632.0,3009.0,1065.0,13.0,15.0,1.0,0.0,0.0,1.0,2.0
노원구,,노원문화의집,서울특별시 노원구 동일로 지하 1530 (지하1층 문화의집),347,2565,37.66506465,127.0580185,44419.0,39631.0,11013.0,13758.0,18684.0,24890.0,25674.0,27513.0,22825.0,10701.0,4075.0,180.0,34.0,1.0,0.0,0.0,1.0,2.0
대구,남구,남구문화원,"대구광역시 남구 앞산순환로 478, 대덕문화전당 3층",428,"3,000",35.8313155,128.5770017,8926.0,8354.0,1302.0,2300.0,6540.0,4529.0,4964.0,5681.0,5607.0,3187.0,1299.0,79.0,12.0,1.0,0.0,1.0,2.0,4.0
대구,달서구,달서구문화원,대구광역시 달서구 문화회관길 160(장기동),164,"8,531",35.8432116,128.5227107,12039.0,11632.0,3522.0,4629.0,6892.0,6604.0,8552.0,11342.0,8345.0,3530.0,1285.0,82.0,4.0,0.0,0.0,1.0,2.0,3.0
대구,달성군,달성문화원,대구광역시 달성군 현풍읍 현풍동로 92,"2,172","17,000",35.6981182,128.4504204,11133.0,11812.0,4519.0,4917.0,6535.0,7902.0,7635.0,5909.0,4830.0,1961.0,638.0,12.0,8.0,1.0,0.0,1.0,1.0,3.0
