index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
113,인천청소년수련관,4357,,37.4530269,126.7506104,1283621,1248111,316977,425211,629073,689108,796816,896379,762925,323186,123512,8134,13,40,15,11,7,73
114,인천중구문화회관,8780.69,2062,37.4402337,126.6288792,688571,682180,178235,236607,335087,363782,434993,456293,389405,178728,69672,4242,4,26,20,12,11,69
115,인천예총 국악회관,1184.5,,37.4612136,126.6624304,1051330,1028915,272990,361366,507732,564831,662203,713853,606767,265633,102410,6330,4,35,19,16,14,84
116,인천어린이과학관,514,13467,37.5518329,126.7393639,1110573,1068678,288294,380209,545885,623977,706245,784522,645042,262873,97305,6112,2,34,11,11,9,65
117,인천아트플랫폼,651,50,37.4731429,126.6193165,710284,705148,195423,245821,342613,392682,460897,480922,408977,183441,70643,4131,14,22,19,14,13,68
118,인천수봉문화회관,5079.484,1706,37.4612136,126.6624304,1051330,1028915,272990,361366,507732,564831,662203,713853,606767,265633,102410,6330,4,35,19,16,14,84
119,인천서구청소년수련관,5506,,37.517261,126.6591464,989882,968005,248781,330626,488730,538249,616818,685546,571938,246251,96090,6048,9,30,19,13,13,75
120,인천서구문화회관,14435.21,14097,37.5156776,126.6797422,1143019,1112978,283369,380159,565992,623938,714154,797444,671358,285531,109942,7105,16,40,20,18,14,92
121,인천문화예술회관,43313,107452,37.4481583,126.7001777,1257119,1226897,313967,424690,612655,668491,780758,864326,730338,314512,121234,7874,31,43,16,16,14,89
122,인제하늘내린센터,6795.45,7583,38.0607544,128.1652585,5963,6343,1394,1414,2463,2797,2559,4394,5201,2801,1808,117,5,2,2,1,1,6
123,익산예술의전당,5728.5,23431,35.9514163,126.987452,125488,124054,27058,48416,67588,47763,70082,85576,76323,42623,21733,2110,7,8,6,2,2,18
124,이천아트홀,11843,21111,37.2716884,127.43436,92240,98364,27520,36353,49873,53162,59100,60817,48977,21136,9630,527,6,3,3,1,1,8
125,의정부예술의전당,22372,,37.7337553,127.0339399,451977,425590,101933,142012,207421,216993,262197,309961,268437,137714,62331,4079,8,17,1,6,4,28
126,의정부아트캠프,409,4086,37.7378981,127.047486,436345,411998,100729,139193,196936,208098,255870,297292,252486,130745,58481,3745,26,16,1,4,2,23
127,의왕시여성회관,7990,,37.3550063,126.9754317,721996,700527,189754,260899,356811,385781,444529,502554,396357,163945,66653,3948,3,29,5,9,6,49
128,의성문화회관,3401,3895,36.3560262,128.7025233,9198,8703,2975,2649,4042,4620,5470,7380,6339,3606,1601,40,3,1,0,1,1,3
129,의령군민문화회관,1018,4071,35.3176942,128.2648399,8990,8809,3200,3427,3125,4580,6894,6061,6066,2990,1343,147,10,1,1,1,1,4
130,음성문화예술회관,916,5148,36.9313321,127.6807028,12251,12707,2080,3251,3361,3870,6118,9663,11540,6577,3736,313,3,1,2,1,2,6
131,을숙도문화회관,10407,15846,35.1094304,128.9449377,406954,393479,97409,120284,187073,194621,233312,258573,274118,142922,53126,3482,10,6,6,1,7,20
132,은평문화예술회관,862,3963,37.6039156,126.9283637,1269108,1138410,268707,352457,701390,740341,725595,756197,638023,345433,146318,4702,14,41,108,19,13,181
133,유앤아이센터,28067,7781,37.2031615,127.0333407,751672,771157,280029,320796,401760,503969,568043,461652,295607,112221,37456,1944,21,29,11,9,6,55
134,원주치악예술관,7807,2658,37.3354409,127.9495753,162943,157827,43752,60832,78153,78286,98798,107917,91758,38596,20906,1425,14,4,6,3,3,16
135,원주백운아트홀,6413,12566,37.3412629,127.918966,168049,163072,46333,63199,80848,82544,102734,112293,95643,40491,21986,1482,6,4,5,3,3,15
136,울진문화예술회관,706,,36.687518,129.4436944,5441,5237,1748,1204,1410,2692,3167,4472,5247,3244,2531,230,5,1,0,1,0,2
137,울주문화예술회관,2854,5212,35.5644949,129.2320867,194250,197234,50040,73713,91314,89052,122175,149983,114539,46091,14273,752,20,5,1,1,0,7
138,울산중구문화의전당,7741.49,17359,35.5804982,129.3230452,370532,380526,112619,144953,167704,191010,245913,285977,211828,80522,23981,1292,12,12,4,4,5,25
139,울산북구문화예술회관,3714.26,13644,35.5811623,129.3798282,329719,340687,108054,127368,137177,180062,223253,245355,192263,73278,20811,1149,2,12,4,4,5,25
140,울산문화예술회관,14567,52042,35.5429381,129.3270884,323417,334417,93367,120168,151918,168359,208805,253998,195609,75534,21914,1079,18,10,5,4,5,24
141,울릉한마음회관,4347.19,,37.494751,130.9031429,3386,4111,479,665,921,1034,1623,2453,2783,1448,824,69,5,1,1,1,1,4
142,용인포은아트홀,13826,54985,37.335726,127.1081988,719384,682135,228286,308225,337408,387578,512838,461127,306212,159250,65215,4143,35,23,18,10,3,54
143,용인어린이상상의숲,,10485,37.250205,127.1655915,412179,404883,150788,184421,197002,233280,308176,256130,158841,78373,31699,2526,10,11,13,4,2,30
144,용인시평생학습관(여성회관),13647,8493,37.3205471,127.0954507,865862,830744,258636,358028,427433,470556,600748,555850,370101,186748,76597,4889,37,31,18,10,3,62
145,용인시문화예술회관,4882,15974,37.2319141,127.1988795,255243,249619,92518,112374,118299,138253,189096,156081,102781,50953,20085,1515,12,5,7,3,1,16
146,용인문화예술원,7178,4836,37.2408414,127.1775117,339854,334044,127240,151918,159428,193806,256556,211639,135001,67664,27659,2284,19,10,11,4,2,27
147,용산아트홀,8519,6082,37.5325615,126.990179,2068055,1902036,414095,576677,1304045,1264342,1200923,1212514,1013760,571295,216960,5930,16,77,139,39,16,271
148,완주향토예술문화회관,900,,35.920259,127.0945688,113214,112291,38792,53870,55913,55250,77759,73966,55496,27529,13560,1185,4,6,5,4,2,17
149,완주문화예술회관,1760.19,,35.9044406,127.1619863,176782,174303,53447,76522,101814,88638,114876,112761,84942,44185,21281,1868,3,10,3,5,4,22
150,완도문화예술의전당,7289,,34.3238947,126.7415466,9745,9747,2359,2516,2797,3488,5009,7535,7997,5715,4066,339,2,1,1,1,2,5
151,올림픽기념 국민생활관 [부산],,,35.167389,129.1376621,839800,767068,181962,247355,382184,381023,480286,524523,530271,304507,118556,6155,32,22,17,8,10,57
152,올림픽공원,1447122,878821,37.5206868,127.1214941,1544167,1449499,372712,487674,787802,918614,967633,951105,826110,415402,125822,4835,0,54,21,14,6,95
153,옥천문화예술회관,935,1984,36.3038642,127.5741471,18281,18210,2594,5160,4719,4240,8287,11893,15608,9258,6008,699,10,2,0,1,1,4
154,오정아트홀,802,2800,37.5280532,126.7960424,1544843,1459425,357915,494122,755270,868672,940464,1019946,895437,401081,139524,7628,14,54,17,14,11,96
155,오산문화예술회관,9489.17,11369,37.1591193,127.076857,416627,432670,183078,198034,196981,287070,341855,240382,144906,53308,17142,879,14,20,3,3,4,30
156,오류아트홀,,4320,37.4957808,126.8473739,1851351,1762772,402869,542407,1020189,1111489,1102835,1167507,1034214,508136,176209,7690,17,62,16,22,13,113
157,예천군문화회관,1087,,36.6512954,128.4459188,17048,16264,3594,5010,5684,5445,8914,12487,13946,8517,5773,423,7,1,0,1,1,3
158,예주문화예술회관,1015,3999,36.5298725,129.4052836,5866,5054,1129,1251,1161,1638,2718,3888,4320,3133,1913,150,5,0,0,1,1,2
159,예울마루,25145.98,72298,34.7501248,127.6655644,115564,118661,29711,39385,46584,48227,66179,80803,72312,42248,16997,1296,2,6,1,4,1,12
160,예술의전당 [서울],12716,1101873,37.4810859,127.0152453,1359490,1258791,285005,408447,794736,824847,817911,801419,671046,374312,126233,3841,27,53,45,20,6,124
161,예술의 전당 [광주] (구. 광주문화예술회관),46979,18368,35.1777502,126.8811251,692642,666972,190921,275993,369825,330629,437317,456153,341764,175266,73810,5364,13,25,24,15,13,77
162,예산문예회관,2685,2622,36.6852365,126.8495989,23486,23433,3075,6479,6477,6471,10545,15022,19562,12181,7836,703,8,2,1,1,2,6
163,영천시민회관,859,9643,35.9724429,128.9378221,36168,36218,9196,11089,11564,13933,20259,24679,25975,15704,8926,681,22,2,3,1,2,8
164,영주시민회관,1295.06,211,36.8288039,128.6178159,41402,40044,5864,12005,13644,10884,18484,26805,31641,19751,11774,1032,9,2,0,2,1,5
165,영주문화예술회관,2351.47,1682,36.8198447,128.6132295,41051,39691,5197,11729,13507,10063,17885,26243,31350,19712,11787,1084,0,2,0,2,1,5
166,영월군문화예술회관,3100,,37.1860703,128.4682677,10730,11048,1504,2986,3054,2862,4818,7748,10140,5705,3200,187,11,1,11,1,2,15
167,영암청소년수련관,3000,,34.7945132,126.6957593,7940,7622,1918,2510,2393,2583,4525,5417,5364,3757,2192,250,7,2,5,1,1,9
168,영등포아트홀,768,4295,37.5258617,126.8971134,2161942,2013353,450740,598887,1268415,1320914,1259881,1296355,1139170,609060,222674,7057,23,72,39,24,18,153
169,영동복합문화예술회관,4594,6,36.1566683,127.7871856,12040,11552,1581,2849,3119,2885,4876,8412,10817,6657,4369,403,0,2,1,1,2,6
170,영도문화예술회관,4025.83,8816,35.0749591,129.0659843,444336,417053,79293,122266,209799,186350,238539,280873,309619,188265,75853,3907,22,12,20,6,15,53
171,영광예술의전당,6521,1942,35.2722261,126.5087057,15740,15037,2920,3923,4000,4292,6476,9917,11507,8360,6328,564,4,2,0,1,1,4
172,연천수레울아트홀,6531,6596,38.1070984,127.0805524,9865,10616,3349,3774,4456,5194,5824,6674,7000,3697,2080,87,5,2,1,1,2,6
173,역삼1동문화센터,110561.43,,37.4953545,127.0332497,1557986,1433418,333836,462983,897962,954150,935741,924626,780488,420353,140621,4470,5,61,56,26,7,150
174,여수시민회관,5265,971,34.7457591,127.7272062,114109,117217,28865,38651,45273,46175,64676,78498,69858,40831,16274,1235,11,5,1,3,1,10
175,어울아트센터(구. 대구북구문예회관),2750.45,15384,35.9456823,128.539188,267234,260140,63022,93126,135162,118742,160855,192402,156803,78144,32251,1722,1,10,1,2,5,18
176,양천문화회관,1128,16823,37.5165519,126.8632631,2010335,1897056,427524,576546,1164067,1219817,1186913,1233647,1093340,560390,198641,7398,17,62,19,18,14,113
